Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_High,Stress_Low,Stress_Moderate,Leverage,High_Leverage_2p,High_Leverage_3p,Cook_Distance
6.9,3.8,8.7,2.8,1.8,2.99,0,0,1,0.0034660618348783187,0,0,7.064890097613679e-07
5.3,3.5,8.0,4.2,3.0,2.75,0,1,0,0.004820302410306496,0,0,1.4167425453748156e-05
5.1,3.9,9.2,1.2,4.6,2.67,0,1,0,0.006039457441432844,0,0,8.733920863082629e-05
6.5,2.1,7.2,1.7,6.5,2.88,0,0,1,0.001930876151238539,0,0,3.155126005020581e-05
8.1,0.6,6.5,2.2,6.6,3.51,1,0,0,0.0024936985464398,0,0,0.0006003131412678598
6.0,2.1,8.0,0.3,7.6,2.85,0,0,1,0.0028599950586075257,0,0,3.9178649190378375e-06
8.0,0.7,5.3,5.7,4.3,3.08,1,0,0,0.003047266531994524,0,0,0.00019097330201993897
8.4,1.8,5.6,3.0,5.2,3.2,1,0,0,0.0024008295280215147,0,0,3.752894050296124e-05
5.2,3.6,6.3,4.0,4.9,2.82,0,1,0,0.00500215867128788,0,0,3.745434273870372e-05
7.7,0.7,9.8,4.5,1.3,2.76,0,0,1,0.004619325152130252,0,0,0.0020823921120621115
9.7,3.6,8.0,2.5,0.2,3.43,1,0,0,0.0034603912723512207,0,0,3.758047174389886e-06
6.9,1.1,9.1,2.1,4.8,2.97,0,0,1,0.0023677160623889436,0,0,1.5157037840470556e-05
6.4,2.2,5.7,4.8,4.9,2.82,1,0,0,0.003060961107727643,0,0,0.00019103193867531026
5.0,3.3,8.5,4.4,2.8,2.87,0,1,0,0.0053090419047113835,0,0,0.0002997506617487715
8.9,0.3,6.8,0.7,7.3,3.4,1,0,0,0.003302384749790353,0,0,2.3451463072761234e-05
6.7,0.3,6.6,2.0,8.4,3.2,0,0,1,0.003757890404753273,0,0,0.0004624247092299163
8.6,2.6,9.4,1.6,1.8,3.36,1,0,0,0.0031388507366364874,0,0,6.100924889056216e-05
8.8,2.2,8.9,2.0,2.1,3.19,1,0,0,0.002481229570813264,0,0,0.00012179332736102412
7.6,1.7,5.1,0.6,9.0,3.16,1,0,0,0.0032591042698938474,0,0,1.5962948012648246e-06
6.6,2.0,9.5,1.5,4.4,2.93,0,0,1,0.002737939964586759,0,0,7.81483960162602e-06
7.1,3.0,6.1,0.5,7.3,2.9,0,0,1,0.004427892924868662,0,0,0.0002712051774561047
9.6,3.2,8.2,2.6,0.4,3.34,1,0,0,0.0025643292551203217,0,0,7.209628763912206e-05
9.0,0.7,9.5,2.6,2.2,3.21,1,0,0,0.0034001369098710294,0,0,0.00022603707085151962
6.1,1.7,9.1,5.2,1.9,2.85,0,0,1,0.004312373904649029,0,0,2.392664535968944e-05
5.0,2.0,7.1,1.3,8.6,2.68,0,1,0,0.005220284098503459,0,0,6.789513436384682e-05
9.7,1.3,7.6,3.8,1.6,3.29,1,0,0,0.002333557441531171,0,0,0.00022949915118558242
6.8,3.9,9.8,0.9,2.6,2.64,0,0,1,0.005255547365362782,0,0,0.0018200814208007305
6.4,0.1,8.0,3.0,6.5,2.95,0,0,1,0.0040286196975455775,0,0,2.545252592685207e-08
5.3,1.1,9.5,1.4,6.7,2.79,0,1,0,0.004953308937385783,0,0,9.292816563591667e-09
9.9,1.0,8.4,3.6,1.1,3.25,1,0,0,0.0026754038212597453,0,0,0.0005084462627917434
6.2,2.9,6.8,3.8,4.3,3.05,0,0,1,0.0020180774868340965,0,0,0.0001291783894740439
5.5,3.3,6.6,1.1,7.5,3.26,0,1,0,0.004601879019501858,0,0,0.0028180528202540237
5.2,2.4,8.4,0.1,7.9,2.47,0,1,0,0.004148634402151864,0,0,0.0011199855679242755
