Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Leverage,High_Leverage_2p,High_Leverage_3p,Cook_Distance
6.9,3.8,8.7,2.8,1.8,2.99,Moderate,0.0021113975220760873,0,0,5.964707227721809e-05
5.3,3.5,8.0,4.2,3.0,2.75,Low,0.0028989828880639683,0,0,4.211194493824222e-05
5.1,3.9,9.2,1.2,4.6,2.67,Low,0.003986355935303994,0,0,6.247999789494201e-06
6.5,2.1,7.2,1.7,6.5,2.88,Moderate,0.0008503256492088165,0,0,6.141282567513169e-05
8.1,0.6,6.5,2.2,6.6,3.51,High,0.002525179442788112,0,0,5.021365113994691e-05
6.0,2.1,8.0,0.3,7.6,2.85,Moderate,0.0022342019996100656,0,0,0.0002799448907460449
8.0,0.7,5.3,5.7,4.3,3.08,High,0.0032550078040195,0,0,3.063064910877767e-05
8.4,1.8,5.6,3.0,5.2,3.2,High,0.0018546116955199864,0,0,1.0416795543661624e-05
5.2,3.6,6.3,4.0,4.9,2.82,Low,0.003238649240231468,0,0,0.00011486545185165328
7.7,0.7,9.8,4.5,1.3,2.76,Moderate,0.0050577244871788185,0,0,0.00014870204063577885
9.7,3.6,8.0,2.5,0.2,3.43,High,0.002401298364791957,0,0,1.8669036895077905e-05
6.9,1.1,9.1,2.1,4.8,2.97,Moderate,0.0016437845414761852,0,0,3.611127274770958e-05
6.4,2.2,5.7,4.8,4.9,2.82,High,0.0021723539825972207,0,0,0.0004349368888636297
5.0,3.3,8.5,4.4,2.8,2.87,Low,0.003868385917559598,0,0,6.94045221508518e-06
8.9,0.3,6.8,0.7,7.3,3.4,High,0.00304021642737716,0,0,2.0396096632496356e-05
6.7,0.3,6.6,2.0,8.4,3.2,Moderate,0.002471514529780257,0,0,0.0004696565425448566
8.6,2.6,9.4,1.6,1.8,3.36,High,0.0016215317038858843,0,0,0.0002876784900875301
8.8,2.2,8.9,2.0,2.1,3.19,High,0.001478450782939576,0,0,0.00013525090786205797
7.6,1.7,5.1,0.6,9.0,3.16,High,0.003018224471414803,0,0,3.52966421110525e-05
6.6,2.0,9.5,1.5,4.4,2.93,Moderate,0.0017235975336313636,0,0,4.6014500490104185e-05
7.1,3.0,6.1,0.5,7.3,2.9,Moderate,0.002812327111454762,0,0,0.0010670306761363698
9.6,3.2,8.2,2.6,0.4,3.34,High,0.002063246121679613,0,0,2.4478234562591852e-05
9.0,0.7,9.5,2.6,2.2,3.21,High,0.0028434356133729276,0,0,0.0003282107462548082
6.1,1.7,9.1,5.2,1.9,2.85,Moderate,0.0027686822682567633,0,0,0.000375527632130826
5.0,2.0,7.1,1.3,8.6,2.68,Low,0.002029398153099715,0,0,1.3773116869870591e-05
9.7,1.3,7.6,3.8,1.6,3.29,High,0.002394194905076086,0,0,1.2408080510045285e-05
6.8,3.9,9.8,0.9,2.6,2.64,Moderate,0.0051218194751064955,0,0,7.70993924059942e-05
6.4,0.1,8.0,3.0,6.5,2.95,Moderate,0.002303955823679512,0,0,8.889458890581614e-05
5.3,1.1,9.5,1.4,6.7,2.79,Low,0.0034087523555155668,0,0,1.44039816905431e-05
9.9,1.0,8.4,3.6,1.1,3.25,High,0.003440292448283683,0,0,3.034295144074001e-05
6.2,2.9,6.8,3.8,4.3,3.05,Moderate,0.0016467782909369557,0,0,0.00012289166015441814
5.5,3.3,6.6,1.1,7.5,3.26,Low,0.00509823825407737,0,0,0.0004523741988147738
5.2,2.4,8.4,0.1,7.9,2.47,Low,0.0038601061443437096,0,0,2.5809870996974075e-05
8.2,0.7,8.5,2.3,4.3,3.24,High,0.0013867812078274177,0,0,0.0001973291301500523
9.7,0.6,6.7,0.7,6.3,3.62,High,0.0037809518042607585,0,0,5.1090992208499875e-06
9.1,2.2,7.6,1.2,3.9,3.12,High,0.0022557394680910547,0,0,3.262545141376931e-05
5.5,3.6,9.5,3.4,2.0,2.58,Low,0.004245164591223517,0,0,5.2394077063180896e-05
8.6,3.6,9.4,1.9,0.5,3.03,High,0.0033275283456747668,0,0,0.0006946335765012664
8.2,0.3,5.8,5.4,4.3,3.29,High,0.002836760648855234,0,0,2.859588333807737e-05
5.0,0.6,7.7,4.2,6.5,2.61,Low,0.003475244950473031,0,0,1.8739253556473945e-05
8.3,0.9,8.6,1.4,4.8,3.48,High,0.002137880378454637,0,0,0.0002555685759575336
8.2,3.4,8.3,2.3,1.8,3.07,High,0.0014243239269160035,0,0,0.00019887138085502437
5.5,1.5,6.3,1.5,9.2,2.81,Low,0.0017588417610465618,0,0,0.0002868374886727585
9.5,2.5,9.0,1.5,1.5,3.49,High,0.0023008228569394266,0,0,6.574954407342727e-05
7.9,2.0,6.0,4.3,3.8,2.97,Moderate,0.00189740802308921,0,0,0.0013582298062532437
9.7,3.8,9.6,0.3,0.6,3.55,High,0.003259418221895623,0,0,0.00012180387917266773
5.1,3.7,7.1,5.8,2.3,2.6,Low,0.004201014590705421,0,0,5.359888207459642e-05
9.3,1.3,5.8,3.3,4.3,3.09,High,0.003573511170884248,0,0,5.452684722226237e-06
9.7,2.8,7.9,0.3,3.3,3.47,High,0.002235666487139398,0,0,1.3187092395005127e-05
9.4,3.0,8.5,2.2,0.9,3.18,High,0.0025675379846927153,0,0,6.220482203885637e-05
6.8,1.2,9.0,4.9,2.1,3.12,Moderate,0.0024555687166461304,0,0,5.12903040440728e-05
9.0,2.6,8.5,3.1,0.8,4.0,High,0.007009300677253219,1,0,0.00023585956966353416
9.5,1.4,6.9,0.6,5.6,3.33,High,0.002885328261308724,0,0,8.175945791611313e-06
7.3,2.2,6.4,3.5,4.6,3.11,Moderate,0.000848554759049015,0,0,0.00032046642637739253
5.2,0.1,9.1,2.2,7.4,2.79,Low,0.0038853301085674183,0,0,1.540111276818134e-05
8.8,0.9,8.1,0.5,5.7,3.1,High,0.0026573082751851084,0,0,0.00010060786331376891
5.3,2.1,7.7,3.8,5.1,2.39,Low,0.0037861204735002408,0,0,9.931273343906423e-05
9.0,1.1,7.2,0.5,6.2,3.39,High,0.002225376973272459,0,0,2.0017822069282152e-05
